#Final resampeld spectrum with mask used for the fit
#
#Milky Way reddening already corrected
#
#Four columns
#1. lambda   2. flux   3. error   4. mask
#
   1322.4000  8.201657e+00  3.096213e-01                     1
   1322.8000  6.755064e+00  2.901149e-01                     1
   1323.2000  6.477415e+00  2.823311e-01                     1
   1323.6000  6.860992e+00  2.797001e-01                     1
   1324.0000  7.532221e+00  2.847770e-01                     1
   1324.4000  7.718373e+00  3.033867e-01                     1
   1324.8000  7.530948e+00  2.981973e-01                     1
   1325.2000  7.357407e+00  3.005052e-01                     1
   1325.6000  6.374862e+00  2.854569e-01                     1
   1326.0000  4.373791e+00  2.433772e-01                     1
   1326.4000  6.494001e+00  2.868448e-01                     1
   1326.8000  6.178432e+00  2.819296e-01                     1
   1327.2000  7.630565e+00  3.006535e-01                     1
   1327.6000  8.131799e+00  3.111483e-01                     1
   1328.0000  7.756221e+00  3.065765e-01                     1
   1328.4000  7.203069e+00  2.933502e-01                     1
   1328.8000  7.177782e+00  2.772803e-01                     1
   1329.2000  6.534282e+00  2.820140e-01                     1
   1329.6000  5.863430e+00  2.727176e-01                     1
   1330.0000  5.344986e+00  2.631608e-01                     1
   1330.4000  4.551583e+00  2.517090e-01                     1
   1330.8000  4.573622e+00  2.496946e-01                     1
   1331.2000  5.713650e+00  2.679952e-01                     1
   1331.6000  6.430120e+00  2.848689e-01                     0
   1332.0000  5.282456e+00  2.578657e-01                     0
   1332.4000  6.016263e+00  2.618892e-01                     0
   1332.8000  6.775163e+00  2.916452e-01                     0
   1333.2000  6.036223e+00  2.782683e-01                     0
   1333.6000  6.314694e+00  2.780024e-01                     0
   1334.0000  3.675092e+00  2.264996e-01                     0
   1334.4000  8.504779e-01  1.413731e-01                     0
   1334.8000  4.950830e+00  2.548835e-01                     0
   1335.2000  6.053907e+00  2.758060e-01                     0
   1335.6000  3.364001e+00  2.259955e-01                     0
   1336.0000  1.839762e+00  1.810004e-01                     0
   1336.4000  -1.819467e-02  4.995948e-02                     0
   1336.8000  1.801678e-01  8.924749e-02                     0
   1337.2000  2.244332e+00  1.841413e-01                     0
   1337.6000  1.806163e+00  1.768852e-01                     0
   1338.0000  4.566608e+00  2.505242e-01                     0
   1338.4000  7.655699e+00  3.011220e-01                     0
   1338.8000  8.259045e+00  3.068509e-01                     1
   1339.2000  8.817114e+00  3.195023e-01                     1
   1339.6000  8.195171e+00  3.098594e-01                     1
   1340.0000  8.217777e+00  3.051603e-01                     1
   1340.4000  7.950146e+00  2.921377e-01                     1
   1340.8000  7.332675e+00  2.857148e-01                     1
   1341.2000  7.295538e+00  2.913455e-01                     1
   1341.6000  8.170068e+00  3.064596e-01                     1
   1342.0000  7.730238e+00  3.015410e-01                     1
   1342.4000  8.525203e+00  3.095956e-01                     1
   1342.8000  7.513250e+00  2.945319e-01                     1
   1343.2000  6.406066e+00  2.803735e-01                     1
   1343.6000  5.684409e+00  2.643582e-01                     1
   1344.0000  5.921498e+00  2.681329e-01                     1
   1344.4000  4.894891e+00  2.537998e-01                     1
   1344.8000  5.619553e+00  2.647799e-01                     1
   1345.2000  5.467876e+00  2.585599e-01                     1
   1345.6000  5.080029e+00  2.373109e-01                     1
   1346.0000  5.576840e+00  2.642807e-01                     1
   1346.4000  5.275566e+00  2.562238e-01                     1
   1346.8000  5.878465e+00  2.707797e-01                     1
