#Final resampeld spectrum with mask used for the fit
#
#Milky Way reddening already corrected
#
#Four columns
#1. lambda   2. flux   3. error   4. mask
#
   1242.8000  2.834488e+00  1.071627e-01                     1
   1243.2000  3.089159e+00  1.103215e-01                     1
   1243.6000  3.100940e+00  1.067903e-01                     1
   1244.0000  3.195368e+00  1.069062e-01                     1
   1244.4000  3.074602e+00  1.111416e-01                     1
   1244.8000  3.258574e+00  1.118180e-01                     1
   1245.2000  3.576595e+00  1.178400e-01                     1
   1245.6000  4.067378e+00  1.243934e-01                     1
   1246.0000  4.452316e+00  1.272438e-01                     1
   1246.4000  4.401170e+00  1.278097e-01                     1
   1246.8000  4.586474e+00  1.306227e-01                     1
   1247.2000  4.732361e+00  1.308382e-01                     1
   1247.6000  5.074335e+00  1.294906e-01                     1
   1248.0000  5.427060e+00  1.357363e-01                     1
   1248.4000  5.034287e+00  1.351203e-01                     1
   1248.8000  5.532906e+00  1.403757e-01                     1
   1249.2000  5.988618e+00  1.465525e-01                     1
   1249.6000  6.235486e+00  1.482338e-01                     1
   1250.0000  6.374050e+00  1.485279e-01                     1
   1250.4000  6.391520e+00  1.509600e-01                     1
   1250.8000  5.581756e+00  1.422905e-01                     1
   1251.2000  5.951247e+00  1.440099e-01                     1
   1251.6000  5.850903e+00  1.451654e-01                     1
   1252.0000  5.300335e+00  1.363543e-01                     1
   1252.4000  4.920568e+00  1.272062e-01                     1
   1252.8000  4.245291e+00  1.265051e-01                     1
   1253.2000  3.252603e+00  1.142457e-01                     1
   1253.6000  2.719512e+00  1.050884e-01                     1
   1254.0000  2.602398e+00  1.033820e-01                     1
   1254.4000  3.902701e+00  1.223706e-01                     1
   1254.8000  4.687448e+00  1.302492e-01                     1
   1255.2000  5.147325e+00  1.351898e-01                     1
   1255.6000  5.338865e+00  1.389939e-01                     1
   1256.0000  4.854111e+00  1.281976e-01                     1
   1256.4000  4.229812e+00  1.205310e-01                     1
   1256.8000  4.555954e+00  1.304289e-01                     1
   1257.2000  4.704336e+00  1.316067e-01                     1
   1257.6000  4.419340e+00  1.264320e-01                     1
   1258.0000  4.537948e+00  1.303074e-01                     1
   1258.4000  4.555484e+00  1.306152e-01                     0
   1258.8000  4.433866e+00  1.272390e-01                     0
   1259.2000  4.300271e+00  1.275517e-01                     0
   1259.6000  3.228903e+00  1.135465e-01                     0
   1260.0000  3.478666e+00  1.160893e-01                     0
   1260.4000  1.498127e+00  8.346358e-02                     0
   1260.8000  2.148139e+00  9.145806e-02                     0
   1261.2000  3.659904e+00  1.187359e-01                     0
   1261.6000  3.143980e+00  1.111133e-01                     0
   1262.0000  3.835872e+00  1.224976e-01                     0
   1262.4000  4.368645e+00  1.282627e-01                     0
   1262.8000  4.333085e+00  1.255438e-01                     1
   1263.2000  4.300747e+00  1.288471e-01                     1
   1263.6000  4.646076e+00  1.329403e-01                     1
   1264.0000  4.320338e+00  1.278338e-01                     0
   1264.4000  4.184239e+00  1.247515e-01                     0
   1264.8000  4.187881e+00  1.220384e-01                     0
   1265.2000  4.203264e+00  1.266075e-01                     0
   1265.6000  4.005030e+00  1.231553e-01                     0
   1266.0000  3.059928e+00  1.083910e-01                     0
   1266.4000  2.959145e+00  1.093774e-01                     0
   1266.8000  3.830938e+00  1.230925e-01                     0
   1267.2000  4.827995e+00  1.367536e-01                     0
   1267.6000  4.771774e+00  1.349374e-01                     0
